,author_friends,author_location,author_name,author_reviews,prev_rating,prev_review,prev_review_date,rating,review,review_date,review_feedback_cool,review_feedback_funny,review_feedback_useful,business_address,business_name,business_phone,business_type,business_web
10,2,"Chicago, IL",Jill A.,6,0,No Previous Review Available,1990-01-01,5,"Goldfish is great!  My daughter is 21 months and loves swimming there!    Her teacher Ms. Rachel is such a gem.   I like that the class is so well organized into 2-3 minute swimming activities (often using balls, floats, a slide, and songs).   The movement from the different activities helps keep my daughter's attention and helps her become more and more comfortable in the water.   My husband and I take turns swimming with our daughter because we both think it is so fun!   Also, the staff behind the front desk are always smiling and are very helpful.    Really, this is a great place for early swimming-so glad they opened!",2015-01-01,0,,,"7055 High Grove BlvdSte 200Burr Ridge, IL 60527",Goldfish Swim School - Burr Ridge,(630) 485-7300,Swimming Lessons/Schools,goldfishswimschool.com
11,0,"Park Ridge, IL",Chris B.,1,0,No Previous Review Available,1990-01-01,5,"The swim coaches at Big Blue in Niles are amazing. They have tremendous focus, high energy and patience to help the kids learn proper technique in a very safe environment. The management team is the best too. They take time to talk about their coaching strategy for my child and areas in need of growth to advance to the next level. The staff are very accommodating when I need to make any changes in person and the web portal to schedule classes and make-up lessons is a breeze.It's super clean, comfortable and I actually look forward to taking my child to class each week.",2017-09-12,,,6,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
12,84,"Chicago, IL",Marc M.,38,0,No Previous Review Available,1990-01-01,5,"We unfortunately recently moved away from the area and coming here is too far from our new house, but we miss this school and can not recommend it enough. It is the gold standard that we are holding other schools up against. The facility is brand new and very well kept. It is spacious and bright with an immaculate crystal clean pool. There are toys and coloring stations for kids as they wait for their lessons to start. The instructors we had were great with our daughter and brought a positive energy to each lesson. Frankly, I commend them on their patience dealing with children who are first learning to swim.",2017-10-11,,,5,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
13,0,"Skokie, IL",Vee M.,2,0,No Previous Review Available,1990-01-01,5,"I think Big Blue is a fantastic swimming school.   I have been taking my kids here for over 8 months and could not be happier with the program they offer. My daughter is receiving private lessons with Amanda, and she is wonderful.  Amanda was specifically matched with her because of her expertise with special needs children.  She is patient and works hard to get my daughter to reach her goals.   My son has worked with Alexis and Peter, and both have been wonderful.  My son has a hard time feeling comfortable right away with new teachers, and they have been so warm and animated that he has warmed up right off the bat.  The staff seems to have an understanding with small children and the need for flexibility and firmness.  The staff is very friendly and very accommodating  with scheduling.   They have been extremely flexible with make-up sessions and give you time to schedule make-up sessions.  This place had come highly recommended from friends that had already had their children attend other swim schools that did not match-up to Big Blue. I highly recommend this place and recommend that you try the free trial class.  You will not be disappointed.",2017-11-11,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
14,33,"Skokie, IL",Alexandra P.,4,0,No Previous Review Available,1990-01-01,5,"BEST SWIM SCHOOL EVER!!! My kids LOVE this place and their instructors! Alex, Alyssa and Alexis have basically taught my kids to swim in two months. The school is super clean and the entire staff is beyond nice. Their real-time updates and attention to each child's progress makes me very happy. Communication is important to them to an extent that I have not seen anywhere else. Competitive pricing and people who love what they do have made my kids, whom used to hate water, love it as much as I do! You guys are the best! Just keep swimming!!!",2017-08-22,,1,5,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
15,0,"Mt Prospect, IL",Dorothy F.,1,0,No Previous Review Available,1990-01-01,5,"What an awesome school! It is amazing how quickly this new beautiful school was opened.My two sons are taking lessons at Big Blue for over two years now. We fallowed Glenn the manager from Buffalo Grove where we started to Niles where he continues to take excellent care of my two boys. Glen had to face many challenges with my little one who in the beginning refused to even be in the water not saying to place his had under the water. He found him fun, playful teacher who he coached over the lessons to get through tough beginnings. He keeps taking care of this stubborn munchkin, looking after him and getting in the water by himself if it's necessary, every week when we come. Talking and explaining everything to his worried mom. My older son makes such a quick progress that I truly can't believe my eyes. He use to attend another swim school for over a year and couldn't learn to swim at all. Now he is already on Junior Team 2!Rescheduling or scheduling makeup lessons with Glen is a blast. It makes my busy life so much easier.Thank you Glenn for taking such a good care of us",2017-03-15,,,9,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
16,59,"Chicago, IL",Cyndee T.,86,0,No Previous Review Available,1990-01-01,5,"I love, love, love this place (my daughter does too)!  Came for a free trial lesson and we were hooked.  My daughter had been taking lessons at another swim school in the area for the past year, but this facility blows the other place out of the water.  They converted an old Aldi store into this huge beautiful swimming facility.  The lessons here are great too.  I like how they incorporate toys into the lessons if necessary.  My 3 year old likes chasing after the ducks and seeing the shapes under the water, which are used as tools to teach the children where in the pool they are supposed to lift their head up to take a breath.  They also limit the classes to three students which means my daughter is swimming a lot more and it holds her attention the entire time.  It's cool because I get email messages each time she shows progress and achieves another skill.  I also like that the manager is always walking around on deck talking to the parents and coaching the teachers.  At the previous swim school she attended, I saw the manager one time in the year that we went there.",2017-02-25,2,,10,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
17,0,"Chicago, IL",Brica M.,9,0,No Previous Review Available,1990-01-01,5,I just hope they pay Luis enough.Dude is amazing.My kid was afraid of water and somehow he got him to submerge his head first time when he got there.Worth every penny,2017-07-14,,1,5,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
18,0,"Chicago, IL",Christine K.,3,0,No Previous Review Available,1990-01-01,5,"Victoria is an awesome instructor. She is very patient, enthusiastic, friendly and genuine. She is a gem. My son Tommy loves her and is always excited to see her. Big Blue is lucky to have her!!",2017-08-02,,,5,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
19,0,"Chicago, IL",Eddie M.,2,0,No Previous Review Available,1990-01-01,5,"Two of our children attend big blue weekly. We couldn't be happier here. Our oldest has a favorite instructor that we wish we could just adopt into our family already! We signed our younger son up and at first he didn't love lessons nearly as much as our oldest. Before we knew it, he loved the water. His instructor was also amazing. They are kind, patient, knowledgeable and they know how to get results while having fun! We highly recommend Big Blue!!",2017-10-17,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
20,0,"Chicago, IL",Lucy W.,4,0,No Previous Review Available,1990-01-01,5,"Our sons Henry and Matthew started at this school about two months ago. They love going there and have learned so much in just two months. The instructors we usually have ( Alex and Alex :)) are excellent. They both have great skills for teaching and they know how to inspire kids. There was one time we have to reschedule and was assigned to Mr. Luis who was equally excellent. In general, this is a great school with many quality instructors and good facility.",2017-08-09,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
21,3,"Chicago, IL",Denise A.,26,0,No Previous Review Available,1990-01-01,5,"We signed up for the free lesson 6 months ago but knew the second we walked in that morning, we absolutely wanted to be a part of this amazing place - we wanted to become a part of the Big Blue Niles family!  Not only is the ENTIRE STAFF warm and welcoming, so is the water!  We've left PLENTY of times after our session has come to an end in TEARS, kicks and cries because my son WANTS TO STAY!  Big Blue Niles and ALL their instructors make learning FUN!  The patience these teachers have is amazing!  You can immediately tell their goal is to make each and every child simply FEEL COMFORTABLE in the water, first and foremost, even if it means dancing and jumping and singing and playing, all while never leaving the instructor's side.  We've tried Park District classes before and quickly realized our 30 minute session were really only an 8 minute session after going through the class of 15 kids.  Big Blue never has more than 3 kids for 2-3 instructors.  Their hands-on approach is 2nd to none.  Their instructors, teachers and managers ALL have a PERSONAL care for their  families.  We couldn't be happier and can't imagine a week without seeing our Big Blue Niles family & friends!  How each instructor/manager REMEMBERS each kids name is beyond me - it's their personal touch that had us HOOKED!",2017-09-19,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
22,83,"Chicago, IL",Jenny Q.,3,0,No Previous Review Available,1990-01-01,5,"We started here a few months ago for swimming lessons, and my son loves it! We were previously at another swim school, which was fine, but this is a different approach that focuses more on proper technique and you can sign up for lessons with a specific teacher, which is a huge plus. Speaking of, my son has Jose and he is wonderful! He's really patient and he goes out of his way to make class fun. My son looks forward to class every week. As an added bonus, they offer organic lollipops, a large train table and a coloring station which is great for other siblings tagging along or as a reward after a good lesson. The facility is always clean and every member of the staff I have encountered has been friendly and helpful. I highly recommend Big Blue and I highly recommend Jose!",2017-04-18,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
23,32,"Chicago, IL",Laura G.,16,0,No Previous Review Available,1990-01-01,5,"My daughter has not wanted to start swim lessons at all... but we walked in here and she was sold. It's bright, friendly, and the staff are so good with the kids.  My daughter is 4 and she's thrilled.",2017-04-02,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
24,1,"Chicago, IL",Michelle O.,10,0,No Previous Review Available,1990-01-01,5,"Just 4 months ago my 6 year old daughter was afraid to do anything in the water without her floaties. A few classes in, she was going underwater, swimming without floaties (and properly!), and moving along quickly from Dolphin to Jr Team! We love this place. The staff is wonderful, especially Nick, Justin and Adan. They really take the time to figure out the individual needs of each student and go at a pace that's both comforting and challenging. Well worth the money and time. The facilities are top notch, always clean, and the waiting area is nicely set up for viewing as well as having a spot for my younger children to play during the lessons. We'll be fans forever!",2017-05-18,,,3,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
25,0,"Chicago, IL",Kerri F.,2,0,No Previous Review Available,1990-01-01,5,"Words cannot express how much we love Big Blue! My kids started mid-July and have made TREMENDOUS progress! I wish I'd started them sooner! My youngest can be rather ""challenging"" and headstrong but Maricela handled her like a pro! She took a tantruming 4 year old who was refusing to participate and teased and cajoled her and turned her into a smiling and eager kid.  She now loves her lessons and looks forward to them each week. She used to flip out if she had to put her face in the water but now she willingly puts her face under and swims all over! My 7 year old is learning as well.  It's really cool to see the way they break down and teach the strokes.  Her teacher, Peter, is incredibly patient and very encouraging. Both of my kids have improved by leaps and bounds.  Not only are they having a blast with their lessons, but they're learning and improving so much!",2017-08-28,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
26,0,"Chicago, IL",David L.,35,0,No Previous Review Available,1990-01-01,5,"Place is great!!  I've been to many swim schools for kids and this one nails it. Teachers are enthusiastic and keep kids motivated. Glen,  who runs the place is very involved and on top of it. He has great customer service and is always checking in with the parents.",2017-07-25,,,2,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
27,0,"Chicago, IL",John F.,4,0,No Previous Review Available,1990-01-01,5,"This place is awesome. All of the instructors are extremely patient, supportive...and, most importantly, fun. 2 of my kids swim with Priscilla and absolutely adore her.  She is very nice while pushing the kids to master their skills.  The entire staff cares for every kid that walks through the door. The facility is also super clean. Absolutely no complaints on our end.",2017-03-15,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
28,0,"Chicago, IL",Shalimar A.,1,0,No Previous Review Available,1990-01-01,5,"My daughter has been going to Big Blue for about a month now, and I must say the teachers are very knowledgble about their profession.  Alex is very patient and makes the lesson fun for my energetic child!  The facility is very clean and organized!!  Thanks Big Blue!!",2017-03-15,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
29,50,"Darien, IL",Colleen L.,5,0,No Previous Review Available,1990-01-01,5,"We LOVE Big Blue.  The staff here are so helpful - and keep you informed on your child's progress with each visit.  The price for classes are on par with what we were paying at the Y - but the flexibility is what really drew us in.  There are so many time slots to choose from, which makes it possible for my 3 and 5 year old to take classes at the same time.  If you need to switch your time slot at any point, it is no problem at all.  You even get one make up voucher per month!  The water temp is nice and warm, and my kids look forward to ""Swimming Lesson Day"" each week.  The facilities are super clean which is another win.  Give Big Blue a shot!  You won't regret it.",2017-04-06,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
30,0,"Park Ridge, IL",P.R. T.,6,0,No Previous Review Available,1990-01-01,5,"We have two children and have been to 3 different swim classes before we started here.  We are very happy with our experience.  The facilities are nice, the staff is attentive, and, most of all, the teachers are excellent.  My 3 year old daughter didn't even want to talk about putting her head under water 2 weeks ago and now she can't stop diving under water.  The teachers are really enthusiastic and make a concerted effort to encourage the kids, particularly our daughter's teacher, Jose!",2017-04-03,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
31,0,"Chicago, IL",Izy N.,4,0,No Previous Review Available,1990-01-01,5,Absolutely love bringing my little munchkin here! She improved so much in a such a little time period.Her teacher is silly and keeps the lessons interesting..(amina).. I really appreciate that the managers are walking around and are extremely approachable..(Taylor and Nick).. the facility is clean as can be and this swim school is different than any other I've ever been too! Definitely worth it.,2017-05-25,1,,1,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
32,0,"Chicago, IL",victoria t.,13,0,No Previous Review Available,1990-01-01,5,Fresh new facilities.  Great instructors...I mean great!  Angelica is working with my 2yo and is so loving yet firm.  Perfect for a learning environment.  Glen and Taylor are in constant contact about your child's progress.  Very pleasant atmosphere.  I couldn't ask for more.  So glad I moved here from the other location!,2017-03-15,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
33,0,"Park Ridge, IL",Elizabeth M.,1,0,No Previous Review Available,1990-01-01,5,"We love Big Blue! Our 7 year old and 4 year old have been taking lessons here for about 4-5 months, and have made tremendous progress. Priscilla is our 4 year old's teacher and she is phenomenal! She is so full of energy, so funny and engaging with the kids, and thoroughly works each skill with them. We are taking a break for the summer, but will for sure be returning in the fall!",2017-05-24,0,,,"7428 Waukegan RdNiles, IL 60714",Big Blue Swim School - Niles,(847) 729-7665,Swimming Lessons/Schools,bigblueswimschool.com
